ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status,Product,Category,Cost_per_box,Geo,Region,Sales_person,Team,Cost,Profit,Margin_pct,Year,Month
S00000004,SP01,P14,G2,2023-05-05,7107.75,285,Delivered,White Choc,Other,6.43,USA,Americas,Ramalingam Kothapeta,Yummies,1832.55,5275.2,74.22,2023,2023-05
S00000009,SP01,P14,G4,2023-08-22,8664.75,377,Cancelled,White Choc,Other,6.43,New Zealand,APAC,Ramalingam Kothapeta,Yummies,2424.1099999999997,6240.64,72.02,2023,2023-08
S00000013,SP01,P14,G6,2023-10-23,2346.75,103,Delivered,White Choc,Other,6.43,UK,Europe,Ramalingam Kothapeta,Yummies,662.29,1684.46,71.78,2023,2023-10
S00000032,SP01,P14,G2,2023-06-06,4234.5,152,Delivered,White Choc,Other,6.43,USA,Americas,Ramalingam Kothapeta,Yummies,977.3599999999999,3257.1400000000003,76.92,2023,2023-06
S00000033,SP01,P14,G2,2024-12-03,9252.0,421,Delivered,White Choc,Other,6.43,USA,Americas,Ramalingam Kothapeta,Yummies,2707.0299999999997,6544.97,70.74,2024,2024-12
S00000037,SP01,P14,G4,2023-07-17,904.5,33,Delivered,White Choc,Other,6.43,New Zealand,APAC,Ramalingam Kothapeta,Yummies,212.19,692.31,76.54,2023,2023-07
S00000043,SP01,P14,G1,2024-10-02,355.5,14,Delivered,White Choc,Other,6.43,India,APAC,Ramalingam Kothapeta,Yummies,90.02,265.48,74.68,2024,2024-10
S00000047,SP01,P14,G2,2023-07-24,513.0,23,Delivered,White Choc,Other,6.43,USA,Americas,Ramalingam Kothapeta,Yummies,147.89,365.11,71.17,2023,2023-07
S00000048,SP01,P14,G3,2023-07-26,5382.0,216,Delivered,White Choc,Other,6.43,Canada,Americas,Ramalingam Kothapeta,Yummies,1388.8799999999999,3993.12,74.19,2023,2023-07
S00000059,SP01,P01,G1,2025-03-21,569.25,26,Placed,Milk Bars,Bars,5.26,India,APAC,Ramalingam Kothapeta,Yummies,136.76,432.49,75.98,2025,2025-03
